Date,Hour,Minutes,Load,Load_lin,Load_detrend
2010-02-14,11.5,22.5,13221074.800000004,11791476.550909122,1429598.249090882
2010-02-21,11.5,22.5,12770906.19999998,11793776.04084866,977130.1591513213
2010-02-28,11.5,22.5,12304667.499999993,11796075.530788194,508591.96921179816
2010-03-07,11.5,22.5,12463787.499999994,11798375.02072773,665412.479272265
2010-03-14,11.5,22.5,12787365.699999986,11800674.510667264,986691.1893327218
2010-03-21,11.5,22.5,12258295.6,11802974.000606801,455321.59939319827
2010-03-28,11.55688622754491,22.5,11654743.800000006,11805273.490546336,-150529.69054633006
2010-04-04,11.5,22.5,11178335.699999992,11807572.980485871,-629237.2804858796
2010-04-11,11.5,22.5,10881359.399999995,11809872.470425406,-928513.0704254117
2010-04-18,11.5,22.5,11344735.60000001,11812171.960364942,-467436.3603649307
2010-04-25,11.5,22.5,11307916.30000001,11814471.450304478,-506555.15030446835
2010-05-02,11.5,22.5,10860710.200000016,11816770.940244013,-956060.7402439974
2010-05-09,11.5,22.5,10851913.799999984,11819070.430183548,-967156.6301835645
2010-05-16,11.5,22.5,11258940.4,11821369.920123084,-562429.5201230831
2010-05-23,11.5,22.5,11329511.90000001,11823669.410062619,-494157.51006260887
2010-05-30,11.5,22.5,11027170.200000001,11825968.900002155,-798798.7000021543
2010-06-06,11.5,22.5,10299105.700000012,11828268.38994169,-1529162.6899416782
2010-06-13,11.5,22.5,11226417.099999992,11830567.879881226,-604150.7798812333
2010-06-20,11.5,22.5,10918401.099999992,11832867.36982076,-914466.2698207684
2010-06-27,11.5,22.5,10886996.400000002,11835166.859760296,-948170.4597602934
2010-07-04,11.5,22.5,10968683.59999998,11837466.349699832,-868782.7496998534
2010-07-11,11.5,22.5,11033014.199999986,11839765.839639368,-806751.6396393813
2010-07-18,11.5,22.5,11396141.200000003,11842065.329578903,-445924.1295788996
2010-07-25,11.5,22.5,11125729.600000005,11844364.819518438,-718635.2195184324
2010-08-01,11.5,22.5,10743115.3,11846664.309457973,-1103549.009457972
2010-08-08,11.5,22.5,10765541.499999996,11848963.79939751,-1083422.2993975133
2010-08-15,11.5,22.5,10911319.699999971,11851263.289337045,-939943.5893370733
2010-08-22,11.5,22.5,10960645.700000001,11853562.77927658,-892917.0792765785
2010-08-29,11.5,22.5,11025074.3,11855862.269216115,-830787.9692161139
2010-09-05,11.5,22.5,11104888.999999987,11858161.75915565,-753272.7591556627
2010-09-12,11.5,22.5,11386901.799999995,11860461.249095187,-473559.44909519143
2010-09-19,11.5,22.5,11450356.400000004,11862760.739034722,-412404.33903471753
2010-09-26,11.5,22.5,11502282.500000013,11865060.228974257,-362777.7289742436
2010-10-03,11.5,22.5,11878438.100000007,11867359.718913792,11078.381086215377
2010-10-10,11.5,22.5,11909176.200000014,11869659.208853327,39516.99114668742
2010-10-17,11.5,22.5,12314081.200000018,11871958.698792864,442122.50120715424
2010-10-24,11.5,22.5,12444206.999999996,11874258.188732399,569948.8112675976
2010-10-31,11.44378698224852,22.5,12479821.399999993,11876557.678671934,603263.7213280592
2010-11-07,11.5,22.5,11801708.300000006,11878857.168611469,-77148.86861146241
2010-11-14,11.5,22.5,11898416.899999985,11881156.658551004,17260.241448981687
2010-11-21,11.5,22.5,12518986.300000006,11883456.14849054,635530.1515094656
2010-11-28,11.5,22.5,13015111.000000006,11885755.638430076,1129355.3615699299
2010-12-05,11.5,22.5,13645837.700000007,11888055.12836961,1757782.571630396
2010-12-12,11.5,22.5,13625245.199999988,11890354.618309146,1734890.5816908423
2010-12-19,11.5,22.5,14020036.399999995,11892654.10824868,2127382.291751314
2010-12-26,11.5,22.5,12639902.599999994,11894953.598188218,744949.0018117763
2011-01-02,11.5,22.5,12399292.699999994,11897253.088127753,502039.6118722409
2011-01-09,11.5,22.5,12724000.000000004,11899552.578067288,824447.4219327159
2011-01-16,11.5,22.5,13055645.199999997,11901852.068006823,1153793.1319931746
2011-01-23,11.5,22.5,13123458.500000006,11904151.557946358,1219306.9420536477
2011-01-30,11.5,22.5,13425887.700000009,11906451.047885895,1519436.6521141138
2011-02-06,11.5,22.5,13261371.899999995,11908750.53782543,1352621.362174565
2011-02-13,11.5,22.5,12798451.700000003,11911050.027764965,887401.6722350381
2011-02-20,11.5,22.5,13374880.599999992,11913349.5177045,1461531.0822954923
2011-02-27,11.5,22.5,13760361.399999997,11915649.007644035,1844712.3923559617
2011-03-06,11.5,22.5,13133658.8,11917948.497583572,1215710.302416429
2011-03-13,11.5,22.5,12623975.29999999,11920247.987523107,703727.3124768827
2011-03-20,11.5,22.5,12473065.000000002,11922547.477462642,550517.52253736
2011-03-27,11.55688622754491,22.5,12175971.000000002,11924846.967402177,251124.03259782493
2011-04-03,11.5,22.5,11904431.800000008,11927146.457341714,-22714.657341705635
2011-04-10,11.5,22.5,11835137.599999998,11929445.947281249,-94308.3472812511
2011-04-17,11.5,22.5,12128126.799999997,11931745.437220784,196381.36277921312
2011-04-24,11.5,22.5,11347064.000000006,11934044.927160319,-586980.9271603134
2011-05-01,11.5,22.5,10650169.499999987,11936344.417099854,-1286174.917099867
2011-05-08,11.5,22.5,10989769.800000008,11938643.90703939,-948874.1070393827
2011-05-15,11.5,22.5,11325287.299999993,11940943.396978926,-615656.0969789326
2011-05-22,11.5,22.5,11351881.200000005,11943242.886918461,-591361.6869184561
2011-05-29,11.5,22.5,11225676.7,11945542.376857996,-719865.6768579967
2011-06-05,11.5,22.5,11407774.299999993,11947841.866797531,-540067.5667975377
2011-06-12,11.5,22.5,11472099.699999994,11950141.356737068,-478041.65673707426
2011-06-19,11.5,22.5,11444190.89999999,11952440.846676603,-508249.94667661376
2011-06-26,11.5,22.5,10594733.600000001,11954740.336616138,-1360006.7366161365
2011-07-03,11.5,22.5,11135291.100000005,11957039.826555673,-821748.7265556678
2011-07-10,11.5,22.5,11270958.199999997,11959339.316495208,-688381.1164952107
2011-07-17,11.5,22.5,11185007.599999996,11961638.806434745,-776631.2064347491
2011-07-24,11.5,22.5,11143484.400000006,11963938.29637428,-820453.896374274
2011-07-31,11.5,22.5,11095185.399999999,11966237.786313815,-871052.3863138165
2011-08-07,11.5,22.5,11037840.900000006,11968537.27625335,-930696.3762533441
2011-08-14,11.5,22.5,10978354.299999999,11970836.766192885,-992482.4661928862
2011-08-21,11.5,22.5,10903840.199999986,11973136.256132422,-1069296.0561324358
2011-08-28,11.5,22.5,11614766.700000003,11975435.746071957,-360669.0460719541
2011-09-04,11.5,22.5,11399745.09999999,11977735.236011492,-577990.1360115018
2011-09-11,11.5,22.5,11505320.900000004,11980034.725951027,-474713.825951023
2011-09-18,11.5,22.5,11542717.599999994,11982334.215890562,-439616.6158905681
2011-09-25,11.5,22.5,11761756.100000009,11984633.705830099,-222877.60583009012
2011-10-02,11.5,22.5,11792661.300000003,11986933.195769634,-194271.8957696315
2011-10-09,11.5,22.5,11923392.699999986,11989232.68570917,-65839.98570918292
2011-10-16,11.5,22.5,12428007.100000001,11991532.175648704,436474.9243512973
2011-10-23,11.5,22.5,12746346.8,11993831.66558824,752515.1344117615
2011-10-30,11.44378698224852,22.5,12737410.799999997,11996131.155527776,741279.6444722209
2011-11-06,11.5,22.5,11807606.000000011,11998430.645467311,-190824.64546729997
2011-11-13,11.5,22.5,12403664.400000004,12000730.135406846,402934.2645931579
2011-11-20,11.5,22.5,13297066.099999987,12003029.625346381,1294036.4746536054
2011-11-27,11.5,22.5,13257906.800000004,12005329.115285916,1252577.6847140882
2011-12-04,11.5,22.5,13160595.000000004,12007628.605225453,1152966.3947745506
2011-12-11,11.5,22.5,13324660.199999986,12009928.095164988,1314732.104834998
2011-12-18,11.5,22.5,13219682.399999997,12012227.585104523,1207454.8148954734
2011-12-25,11.5,22.5,12950774.600000003,12014527.075044058,936247.5249559451
2012-01-01,11.5,22.5,11435156.5,12016826.564983595,-581670.0649835952
2012-01-08,11.5,22.5,12375594.800000006,12019126.05492313,356468.74507687613
2012-01-15,11.5,22.5,13158605.999999989,12021425.544862665,1137180.4551373236
2012-01-22,11.5,22.5,13274346.79999998,12023725.0348022,1250621.76519778
2012-01-29,11.5,22.5,13475985.199999982,12026024.524741735,1449960.6752582472
2012-02-05,11.5,22.5,14461971.900000006,12028324.014681272,2433647.8853187338
2012-02-12,11.5,22.5,14532609.000000007,12030623.504620807,2501985.4953792
2012-02-19,11.5,22.5,13786160.899999991,12032922.994560342,1753237.9054396488
2012-02-26,11.5,22.5,13116379.500000004,12035222.484499877,1081157.0155001264
2012-03-04,11.5,22.5,12866771.300000018,12037521.974439412,829249.3255606052
2012-03-11,11.5,22.5,12857307.500000015,12039821.46437895,817486.0356210656
2012-03-18,11.5,22.5,12516810.200000022,12042120.954318484,474689.2456815373
2012-03-25,11.55688622754491,22.5,12026381.500000006,12044420.44425802,-18038.94425801374
2012-04-01,11.5,22.5,12144372.90000001,12046719.934197554,97652.96580245532
2012-04-08,11.5,22.5,12022045.0,12049019.42413709,-26974.4241370894
2012-04-15,11.5,22.5,11436307.299999999,12051318.914076626,-615011.6140766274
2012-04-22,11.5,22.5,12024298.600000015,12053618.404016161,-29319.80401614681
2012-04-29,11.5,22.5,11634338.500000017,12055917.893955696,-421579.3939556796
2012-05-06,11.5,22.5,9968044.899999993,12058217.383895231,-2090172.4838952385
2012-05-13,11.5,22.5,11346064.79999999,12060516.873834766,-714452.0738347769
2012-05-20,11.5,22.5,11408644.799999995,12062816.363774303,-654171.5637743082
2012-05-27,11.5,22.5,11430830.100000001,12065115.853713838,-634285.7537138369
2012-06-03,11.5,22.5,11371857.29999999,12067415.343653373,-695558.0436533839
2012-06-10,11.5,22.5,10702746.599999988,12069714.833592908,-1366968.23359292
2012-06-17,11.5,22.5,11406184.599999996,12072014.323532443,-665829.7235324476
2012-06-24,11.5,22.5,11484338.400000004,12074313.81347198,-589975.4134719763
2012-07-01,11.5,22.5,11237638.399999997,12076613.303411515,-838974.9034115188
2012-07-08,11.5,22.5,11510066.000000002,12078912.79335105,-568846.7933510486
2012-07-15,11.5,22.5,11173169.200000001,12081212.283290586,-908043.0832905844
2012-07-22,11.5,22.5,10934966.899999991,12083511.77323012,-1148544.8732301295
2012-07-29,11.5,22.5,11250267.800000014,12085811.263169657,-835543.4631696437
2012-08-05,11.5,22.5,11081263.699999996,12088110.753109192,-1006847.053109197
2012-08-12,11.5,22.5,11027189.49999999,12090410.243048728,-1063220.7430487368
2012-08-19,11.5,22.5,10699560.700000007,12092709.732988263,-1393149.0329882558
2012-08-26,11.5,22.5,11669315.300000004,12095009.222927798,-425693.9229277931
2012-09-02,11.5,22.5,11460525.0,12097308.712867334,-636783.7128673345
2012-09-09,11.5,22.5,11429292.099999994,12099608.20280687,-670316.1028068755
2012-09-16,11.5,22.5,11588478.299999991,12101907.692746405,-513429.3927464131
2012-09-23,11.5,22.5,11581482.50000001,12104207.18268594,-522724.6826859303
2012-09-30,11.5,22.5,11724462.300000006,12106506.672625475,-382044.3726254683
2012-10-07,11.5,22.5,11933548.09999999,12108806.162565012,-175258.06256502122
2012-10-14,11.5,22.5,12210526.799999993,12111105.652504547,99421.14749544673
2012-10-21,11.5,22.5,12173568.000000006,12113405.142444082,60162.85755592398
2012-10-28,11.44378698224852,22.5,12560361.900000008,12115704.632383617,444657.2676163912
2012-11-04,11.5,22.5,11844484.299999993,12118004.122323152,-273519.8223231584
2012-11-11,11.5,22.5,12644384.699999977,12120303.612262689,524081.0877372883
2012-11-18,11.5,22.5,12935412.799999999,12122603.102202224,812809.6977977753
2012-11-25,11.5,22.5,12928246.800000014,12124902.592141759,803344.2078582551
2012-12-02,11.5,22.5,12929391.000000007,12127202.082081294,802188.9179187138
2012-12-09,11.5,22.5,13515051.199999994,12129501.572020829,1385549.627979165
2012-12-16,11.5,22.5,13864375.500000007,12131801.061960366,1732574.4380396418
2012-12-23,11.5,22.5,13599603.899999993,12134100.5518999,1465503.3481000923
2012-12-30,11.5,22.5,11024617.299999995,12136400.041839436,-1111782.7418394405
2013-01-06,11.5,22.5,11911800.699999996,12138699.53177897,-226898.8317789752
2013-01-13,11.5,22.5,13366025.999999994,12140999.021718508,1225026.9782814868
2013-01-20,11.5,22.5,13695484.499999987,12143298.511658043,1552185.9883419443
2013-01-27,11.5,22.5,13801146.500000019,12145598.001597578,1655548.498402441
2013-02-03,11.5,22.5,13080692.600000003,12147897.491537113,932795.1084628906
2013-02-10,11.5,22.5,13057690.200000005,12150196.981476648,907493.2185233571
2013-02-17,11.5,22.5,13122432.000000007,12152496.471416185,969935.5285838228
2013-02-24,11.5,22.5,13123669.30000001,12154795.96135572,968873.3386442903
2013-03-03,11.5,22.5,12758521.59999999,12157095.451295255,601426.1487047356
2013-03-10,11.5,22.5,12651393.299999997,12159394.94123479,491998.35876520723
2013-03-17,11.5,22.5,13147162.49999999,12161694.431174325,985468.0688256659
2013-03-24,11.5,22.5,13212796.2,12163993.921113862,1048802.2788861375
2013-03-31,11.55688622754491,22.5,12536301.599999994,12166293.411053397,370008.1889465973
2013-04-07,11.5,22.5,12006558.499999996,12168592.900992932,-162034.40099293552
2013-04-14,11.5,22.5,12214072.599999988,12170892.390932467,43180.20906752162
2013-04-21,11.5,22.5,11667122.299999991,12173191.880872002,-506069.58087201044
2013-04-28,11.5,22.5,11442909.100000005,12175491.370811539,-732582.2708115336
2013-05-05,11.5,22.5,10077643.200000009,12177790.860751074,-2100147.6607510652
2013-05-12,11.5,22.5,11377140.800000003,12180090.350690609,-802949.5506906062
2013-05-19,11.5,22.5,11355142.299999991,12182389.840630144,-827247.5406301524
2013-05-26,11.5,22.5,11410602.099999994,12184689.330569679,-774087.2305696849
2013-06-02,11.5,22.5,10807343.69999999,12186988.820509216,-1379645.1205092259
2013-06-09,11.5,22.5,11494725.000000002,12189288.31044875,-694563.310448749
2013-06-16,11.5,22.5,11465220.4,12191587.800388286,-726367.4003882855
2013-06-23,11.5,22.5,11797964.8,12193887.29032782,-395922.4903278202
2013-06-30,11.5,22.5,11328841.799999997,12196186.780267356,-867344.980267359
2013-07-07,11.5,22.5,11357189.200000007,12198486.270206893,-841297.0702068862
2013-07-14,11.5,22.5,11462434.999999994,12200785.760146428,-738350.7601464335
2013-07-21,11.5,22.5,11503744.69999999,12203085.250085963,-699340.550085973
2013-07-28,11.5,22.5,11542617.299999982,12205384.740025498,-662767.4400255159
2013-08-04,11.5,22.5,11549251.800000014,12207684.229965033,-658432.4299650192
2013-08-11,11.5,22.5,11597423.3,12209983.71990457,-612560.4199045692
2013-08-18,11.5,22.5,10575047.899999991,12212283.209844105,-1637235.309844114
2013-08-25,11.5,22.5,11422247.09999999,12214582.69978364,-792335.5997836497
2013-09-01,11.5,22.5,11494822.200000005,12216882.189723175,-722059.9897231702
2013-09-08,11.5,22.5,11563768.59999999,12219181.679662712,-655413.0796627216
2013-09-15,11.5,22.5,11751507.99999999,12221481.169602247,-469973.16960225627
2013-09-22,11.5,22.5,11982328.0,12223780.659541782,-241452.659541782
2013-09-29,11.5,22.5,12138776.899999984,12226080.149481317,-87303.24948133342
2013-10-06,11.5,22.5,12384914.9,12228379.639420852,156535.2605791483
2013-10-13,11.5,22.5,12411404.700000003,12230679.129360389,180725.57063961402
2013-10-20,11.5,22.5,12560972.40000001,12232978.619299924,327993.7807000857
2013-10-27,11.44378698224852,22.5,12497761.39999998,12235278.109239459,262483.29076052085
2013-11-03,11.5,22.5,11816016.800000004,12237577.599178994,-421560.7991789896
2013-11-10,11.5,22.5,12760095.300000016,12239877.08911853,520218.21088148654
2013-11-17,11.5,22.5,12573380.100000016,12242176.579058066,331203.5209419504
2013-11-24,11.5,22.5,13106361.899999993,12244476.068997601,861885.8310023919
2013-12-01,11.5,22.5,13421532.799999999,12246775.558937136,1174757.2410628628
2013-12-08,11.5,22.5,13496130.300000003,12249075.048876671,1247055.2511233315
2013-12-15,11.5,22.5,13698330.900000012,12251374.538816206,1446956.3611838054
2013-12-22,11.5,22.5,13497834.099999998,12253674.028755743,1244160.0712442547
2013-12-29,11.5,22.5,10883925.700000007,12255973.518695278,-1372047.8186952714
2014-01-05,11.5,22.5,11633161.2,12258273.008634813,-625111.8086348139
2014-01-12,11.5,22.5,12633789.600000007,12260572.498574348,373217.1014256589
2014-01-19,11.5,22.5,13353670.900000004,12262871.988513883,1090798.911486121
2014-01-26,11.5,22.5,13981945.100000005,12265171.47845342,1716773.621546585
2014-02-02,11.5,22.5,14123888.100000007,12267470.968392955,1856417.131607052
2014-02-09,11.5,22.5,13279980.70000001,12269770.45833249,1010210.2416675203
2014-02-16,11.5,22.5,13066493.099999996,12272069.948272025,794423.1517279707
2014-02-23,11.5,22.5,12807980.899999995,12274369.43821156,533611.4617884345
2014-03-02,11.5,22.5,12746366.800000008,12276668.928151097,469697.87184891105
2014-03-09,11.5,22.5,12767155.70000001,12278968.418090632,488187.28190937825
2014-03-16,11.5,22.5,12458295.399999997,12281267.908030167,177027.49196982943
2014-03-23,11.5,22.5,12345805.399999995,12283567.397969702,62238.002030292526
2014-03-30,11.55688622754491,22.5,12233064.399999997,12285866.887909237,-52802.48790924065
