Date,Load_denoised,forecast,q1_forecast,q2_forecast
2016-11-27 17:00:00,78158.83628282235,74785.0205248775,68366.91102635117,84360.32706985452
2016-11-27 18:00:00,78805.69065514002,76669.68804192306,69629.97822211274,84619.11720979291
2016-11-27 19:00:00,79042.33162722827,78672.38714647725,71986.33954325297,85826.44867288524
2016-11-27 20:00:00,77025.90632668136,79013.1971870005,73674.14290199985,84320.08895422918
2016-11-27 21:00:00,73471.04373708129,77403.25583805244,73387.83350107002,81357.10238451451
2016-11-27 22:00:00,70438.12061112143,74415.41542354679,69634.36400368823,79405.21965034294
2016-11-27 23:00:00,66401.79593031638,69920.12317255995,65586.50042958804,74754.15750961623
2016-11-28 00:00:00,62843.59041366349,66279.49644544175,61833.11049955743,71023.32136561783
2016-11-28 01:00:00,61841.215741132706,64825.50670496896,60158.132279418,69243.7654399675
2016-11-28 02:00:00,61605.98582273589,64367.54068972124,59685.70277597292,68468.1919309691
2016-11-28 03:00:00,61863.230950402874,64554.87313393961,59883.05558143357,68564.7796500916
2016-11-28 04:00:00,63192.481889840456,65095.025272223196,60416.73167572843,69093.61445036616
2016-11-28 05:00:00,67304.31500471721,67048.4260607015,62429.22491632434,71965.77022003
2016-11-28 06:00:00,78304.15451450546,74646.66339076463,67452.14805835034,79859.66506794702
2016-11-28 07:00:00,85942.33940812557,83394.69105257807,74289.04761459159,88792.29862021575
2016-11-28 08:00:00,90406.95341815829,88467.07681010962,78868.24702094521,93003.36604896211
2016-11-28 09:00:00,92936.38630940829,90834.31588339766,82333.08155291706,95678.21562141465
2016-11-28 10:00:00,92912.72840403473,91113.1090023318,84398.65451148686,96063.29304890212
2016-11-28 11:00:00,94240.60010954617,92055.98681901433,85364.81929694282,97197.47545476425
2016-11-28 12:00:00,94819.88247936389,92270.18754380052,85502.50100512824,97558.29328776753
2016-11-28 13:00:00,95721.29902928257,92586.57415258975,86134.33718155697,98044.09030005353
2016-11-28 14:00:00,94451.77927969387,91192.58150477141,85098.77241111897,96765.99352598912
2016-11-28 15:00:00,94768.0975174126,90391.04234905235,84889.40718780759,96054.25069068276
2016-11-28 16:00:00,98112.42370939713,90696.83394480385,84421.63573688196,99847.22545668003
2016-11-28 17:00:00,98322.04461642768,91296.13532951461,83642.24082926493,101631.36231620164
2016-11-28 18:00:00,96767.47172851827,91637.91859727363,83339.97868028107,100564.47827576913
2016-11-28 19:00:00,95842.52315302445,92834.06001308074,84769.9504306427,100262.58210148539
2016-11-28 20:00:00,94021.74800702794,92691.01084778592,85330.45532180404,97977.57002343837
2016-11-28 21:00:00,88342.3091133675,89541.01846878044,84059.09142949282,93129.93146077513
2016-11-28 22:00:00,81940.51853614196,83736.26342379357,78164.813407849,88992.25755542844
2016-11-28 23:00:00,76559.52813748081,78116.65007794033,72066.1587683305,83216.75686920904
2016-11-29 00:00:00,72609.74540274714,73480.64047947552,63090.70653313415,78710.6162639609
2016-11-29 01:00:00,71694.82756100882,71378.8576917638,61634.10527886363,76873.0635586674
2016-11-29 02:00:00,70592.09317341045,70528.76358251213,61806.11300312598,75709.94554518041
2016-11-29 03:00:00,70345.26193952226,70684.2686749131,61978.35679096759,75529.62285649014
2016-11-29 04:00:00,71073.85699368727,70944.72161692484,62941.52718117573,75326.36019972488
2016-11-29 05:00:00,73617.86517963331,72007.4909776853,64472.490048288644,76614.77498912506
2016-11-29 06:00:00,82004.44472798958,78074.49210760237,70783.23699241315,83241.91214679324
2016-11-29 07:00:00,88289.97684584417,85878.65615442058,79028.69998350806,91094.67376237868
2016-11-29 08:00:00,92219.159541286,90108.48191541387,84028.21123503994,94307.37273369731
2016-11-29 09:00:00,94102.74267351339,91955.58815051889,87011.43985808334,96467.50754429035
2016-11-29 10:00:00,94417.21941698354,92016.53682860656,87037.50824533816,96706.27266837141
2016-11-29 11:00:00,95611.22735190328,92956.40269803307,88121.14737342377,97908.00131426207
2016-11-29 12:00:00,96082.26429915868,93171.71404507775,88091.03827764477,98285.13029423992
2016-11-29 13:00:00,96912.59439804901,93437.84291466315,88611.53643452674,98694.02445375061
2016-11-29 14:00:00,95748.03372379625,92074.28784803613,87360.52248019341,97275.19175364755
2016-11-29 15:00:00,96370.22577439406,91250.62933987343,86229.85849090597,96724.71065869331
2016-11-29 16:00:00,100226.0505135642,91510.42181756842,85341.3700244209,100750.73771208608
2016-11-29 17:00:00,99936.15843575532,92033.34844540322,84508.26459845288,101796.82632698421
2016-11-29 18:00:00,98140.25651074115,92338.79251070316,84261.12107336147,100516.53926541525
2016-11-29 19:00:00,96985.31533239254,93568.3055238158,86046.61655577387,100760.69224002902
2016-11-29 20:00:00,94112.06197203475,93481.355936476,87552.96587816309,98408.42155122734
2016-11-29 21:00:00,88383.5658736557,90253.47125652185,85565.65316249903,93659.8724996758
2016-11-29 22:00:00,82013.77295294101,84499.01340593382,79202.88172150668,89513.03814749978
2016-11-29 23:00:00,76456.05039845897,78817.36314789162,73461.01226428756,83853.48971835272
2016-11-30 00:00:00,73024.49318298567,74135.0635154956,67265.4139273537,79309.04100062425
2016-11-30 01:00:00,71823.28503324758,71895.61851844037,64999.69422785967,77214.65374304623
2016-11-30 02:00:00,70319.843651819,71042.42909373078,64043.37298385755,75926.08709238868
2016-11-30 03:00:00,70498.4125571657,71179.78334721967,64569.706512342054,75757.13133368902
2016-11-30 04:00:00,71662.28798844843,71403.39037112564,65093.562753530394,75996.55113589484
2016-11-30 05:00:00,74878.44652840609,72434.98154494891,65735.58167721173,77019.92702877466
2016-11-30 06:00:00,82587.97604684603,78527.01743766334,72745.30943702618,83653.59104997381
2016-11-30 07:00:00,89749.94131835723,86347.65798089666,81160.80613497854,91591.77004385009
2016-11-30 08:00:00,93366.66694155309,90561.74548748115,85594.59313667487,94986.345297441
2016-11-30 09:00:00,95138.06677987573,92414.34141164266,87602.58788801698,96939.57957387889
2016-11-30 10:00:00,94917.09924145511,92492.14768482228,87941.41784231644,97082.50270794751
2016-11-30 11:00:00,96041.21492399988,93450.1140869784,88900.48742487382,98153.9089410644
