,lower Load,upper Load,mean Load
2016-12-28 08:00:00,66968.65448384461,113206.95191030722,90087.80319707592
2016-12-28 09:00:00,69325.62576086681,115641.56551470379,92483.5956377853
2016-12-28 10:00:00,69429.01805013971,115819.94546494441,92624.48175754206
2016-12-28 11:00:00,70426.68507106576,116885.53801201351,93656.11154153963
2016-12-28 12:00:00,70440.548166129,116959.21176671494,93699.87996642197
2016-12-28 13:00:00,71172.92895523824,117747.52604771445,94460.22750147634
2016-12-28 14:00:00,69595.49481299736,116221.48475206648,92908.48978253192
2016-12-28 15:00:00,70023.9376529549,116697.2105167294,93360.57408484216
2016-12-28 16:00:00,74175.3577058806,120892.85742202593,97534.10756395326
2016-12-28 17:00:00,74093.36651305953,120850.9103302517,97472.13842165562
2016-12-28 18:00:00,72871.72432634115,119666.33383423788,96269.02908028952
2016-12-28 19:00:00,72338.0007070001,119168.41210905033,95753.20640802522
2016-12-28 20:00:00,69877.29219503485,116739.62275562953,93308.4574753322
2016-12-28 21:00:00,64819.96156750682,111711.04603844111,88265.50380297397
2016-12-28 22:00:00,58779.70963678939,105698.5575901843,82239.13361348685
2016-12-28 23:00:00,53195.37152748785,100139.68405798892,76667.52779273839
2016-12-29 00:00:00,48450.25804007199,95417.3462241824,71933.8021321272
2016-12-29 01:00:00,45846.91717715059,92878.17152390287,69362.54435052673
2016-12-29 02:00:00,44267.390695931244,91397.39923422699,67832.39496507912
2016-12-29 03:00:00,44101.74900915219,91340.63126031285,67721.19013473252
2016-12-29 04:00:00,45183.258207273146,92522.54271737885,68852.900462326
2016-12-29 05:00:00,47578.378528381436,95008.20686666161,71293.29269752152
2016-12-29 06:00:00,55719.520350494975,103236.70897900948,79478.11466475223
2016-12-29 07:00:00,63352.924989345905,110956.60688276343,87154.76593605467
2016-12-29 08:00:00,66243.26545672561,113926.57508993777,90084.92027333169
2016-12-29 09:00:00,68601.62812870328,116359.02601056895,92480.32706963611
2016-12-29 10:00:00,68706.70677282813,116535.65940812058,92621.18309047435
2016-12-29 11:00:00,69706.6738202394,117600.47892301547,93653.57637162744
2016-12-29 12:00:00,69721.57935079189,117672.4719051002,93697.02562794604
2016-12-29 13:00:00,70455.1254081476,118459.38111784714,94457.25326299737
2016-12-29 14:00:00,68879.62583559533,116932.95172840302,92906.28878199917
2016-12-29 15:00:00,69308.77692207778,117407.2453550853,93358.01113858154
2016-12-29 16:00:00,73461.10663795305,121601.78195794215,97531.4442979476
2016-12-29 17:00:00,73380.69868923961,121559.61264368553,97470.15566646257
2016-12-29 18:00:00,72159.57831875091,120373.88863721564,96266.73347798327
2016-12-29 19:00:00,71626.53052635315,119875.01863577856,95750.77458106585
2016-12-29 20:00:00,69167.24003885612,117446.21856426269,93306.7293015594
2016-12-29 21:00:00,64110.22035244739,112416.65826157542,88263.4393070114
2016-12-29 22:00:00,58070.50627427874,106403.449022352,82236.97764831537
